ae train,ae test,ae mel,ae perc,ae kld,beta,lr
3.893463,2.6159585,0.48119387,1.0761913,13.40633,0.0,0.0001
2.4221842,2.3359523,0.15393052,0.81494325,16.917648,0.0,0.0001
2.284573,2.2788525,0.13598555,0.77784365,19.018833,0.0,0.0001
2.213365,2.1756358,0.12683219,0.7585139,20.640684,0.0,0.0001
2.183422,2.156222,0.12300684,0.75036186,21.581247,0.0,0.0001
2.1457076,2.1555333,0.11754297,0.7407401,22.213625,0.0,0.0001
2.1173003,2.091093,0.11330766,0.7336125,22.46229,0.0,0.0001
2.0875654,2.0837448,0.10909171,0.7259344,22.391476,0.0,0.0001
2.062313,2.0504508,0.10523882,0.7196864,22.1041,0.0,0.0001
2.0370917,2.0169816,0.10137583,0.7134608,22.917961,0.0,0.0001
2.0071757,2.0121765,0.09734022,0.70553005,23.391512,0.0,0.0001
1.9906921,1.9957315,0.09511183,0.701165,23.95776,0.0,0.0001
1.9739736,1.9695035,0.09280279,0.69678664,24.483948,0.0,0.0001
1.958144,1.9743482,0.090623155,0.6926344,25.072334,0.0,0.0001
1.9473615,1.9439914,0.08892779,0.69001675,25.531559,0.0,0.0001
1.9334801,1.9308597,0.08703068,0.6863614,25.668053,0.0,0.0001
1.9246745,1.9677988,0.085725754,0.6841441,25.936764,0.0,0.0001
1.9170862,1.9128946,0.08451355,0.68232095,26.251474,0.0,0.0001
1.9079562,1.9022471,0.083228186,0.67995423,26.405762,0.0,0.0001
1.9030827,1.8856945,0.08251515,0.6787179,26.622366,0.0,0.0001
1.8903188,1.886753,0.080805324,0.67532223,26.8416,0.0,0.0001
1.915685,1.8932486,0.08226929,0.6784152,8.384214,0.0016666666666666668,0.0001
1.9069597,1.8971881,0.08070029,0.6755167,4.925181,0.0033333333333333335,0.0001
1.9105834,1.9127609,0.08062827,0.67540437,4.1003366,0.005000000000000001,0.0001
1.9093454,1.9036776,0.08004676,0.67382246,3.7008078,0.006666666666666667,0.0001
1.9100312,1.9511188,0.07956921,0.6729426,3.450219,0.008333333333333333,0.0001
1.9119587,1.9001282,0.07933784,0.67231065,3.2837539,0.010000000000000002,0.0001
1.9127098,1.901095,0.078795746,0.67161524,3.1442132,0.011666666666666667,0.0001
1.9129786,1.9191873,0.07842419,0.67058647,3.033887,0.013333333333333334,0.0001
1.9204147,1.9254712,0.07879941,0.67169756,2.9448183,0.015000000000000001,0.0001
1.9163296,1.909216,0.07771997,0.66974866,2.859479,0.016666666666666666,0.0001
1.9187998,1.9107468,0.07750966,0.66958535,2.785213,0.018333333333333333,0.0001
1.9284258,1.9553189,0.078449726,0.6711576,2.7203705,0.020000000000000004,0.0001
1.9188988,1.9147791,0.07661752,0.6679241,2.6559062,0.021666666666666667,0.0001
1.9298353,1.9315436,0.0776446,0.670028,2.5994532,0.023333333333333334,0.0001
1.9259049,1.9236401,0.07678127,0.6681346,2.5446098,0.025,0.0001
1.9357351,1.9635938,0.077668086,0.67001694,2.494599,0.02666666666666667,0.0001
1.9347878,1.9240682,0.07718891,0.6689894,2.4473636,0.028333333333333335,0.0001
1.9370825,1.9234884,0.07708801,0.66893667,2.400694,0.030000000000000002,0.0001
1.9364926,1.9374027,0.07656334,0.6681857,2.3564098,0.03166666666666667,0.0001
1.9450996,1.9787729,0.07741439,0.6697661,2.3144538,0.03333333333333333,0.0001
1.9430916,1.9690253,0.07679879,0.6685977,2.2743008,0.035,0.0001
1.944207,1.9433324,0.076494925,0.6683985,2.235635,0.03666666666666667,0.0001
1.9510602,1.9491434,0.077118084,0.66961616,2.197163,0.03833333333333334,0.0001
1.9522735,1.9613885,0.07697727,0.66934913,2.161437,0.04000000000000001,0.0001
1.954515,1.9503051,0.07713014,0.66923195,2.1266346,0.041666666666666664,0.0001
1.958941,1.9629328,0.07737696,0.66991985,2.0930533,0.043333333333333335,0.0001
1.9601768,1.9538686,0.07724585,0.6697239,2.0611641,0.045000000000000005,0.0001
1.9603249,1.9553983,0.07690718,0.6693217,2.0304127,0.04666666666666667,0.0001
1.9660037,1.9623224,0.077501535,0.67022824,2.0002592,0.04833333333333334,0.0001
1.9546119,1.9587847,0.07575734,0.6665572,1.976509,0.05,3.16e-05
1.9586935,1.9594347,0.07601862,0.6670598,1.954791,0.051666666666666666,3.16e-05
1.9633558,1.964075,0.07635981,0.6677378,1.9333458,0.05333333333333334,3.16e-05
1.9671836,1.9705902,0.07659988,0.6682287,1.9111328,0.05500000000000001,3.16e-05
1.971725,1.9803262,0.076837994,0.6690333,1.8890651,0.05666666666666667,3.16e-05
1.9756718,1.9820725,0.07711044,0.6695756,1.8678335,0.058333333333333334,3.16e-05
1.9789059,1.9820718,0.07727105,0.66997045,1.8467009,0.060000000000000005,3.16e-05
1.9827844,1.9847605,0.077579066,0.6704942,1.825967,0.06166666666666667,3.16e-05
1.9874285,1.9866159,0.07795743,0.6712739,1.805529,0.06333333333333334,3.16e-05
1.9905148,1.9918793,0.07810036,0.67167693,1.7857164,0.065,3.16e-05
1.9943266,1.9898678,0.078358606,0.6722712,1.7662805,0.06666666666666667,3.16e-05
1.9990702,2.0021434,0.07875827,0.67311734,1.7470382,0.06833333333333334,3.16e-05
2.0018013,2.0035305,0.07892809,0.6733979,1.7283753,0.07,3.16e-05
2.0059354,1.9959539,0.07919474,0.67416275,1.7098819,0.07166666666666667,3.16e-05
2.0094688,2.0100188,0.07943777,0.67473006,1.6915816,0.07333333333333333,3.16e-05
2.0132377,2.0103388,0.07976771,0.6753147,1.6737548,0.075,3.16e-05
2.0172515,2.026464,0.08010788,0.675995,1.6564466,0.07666666666666667,3.16e-05
2.0200078,2.019607,0.080313854,0.6763315,1.6390775,0.07833333333333334,3.16e-05
2.0244133,2.0324535,0.08056904,0.67728883,1.6221118,0.08000000000000002,3.16e-05
2.0275528,2.0324101,0.08092648,0.6776461,1.6055669,0.08166666666666668,3.16e-05
2.0314465,2.0340085,0.08126211,0.67836225,1.58863,0.08333333333333333,3.16e-05
2.0346825,2.042656,0.08142002,0.67897534,1.5728719,0.085,3.16e-05
2.0392714,2.0423894,0.08185886,0.6798833,1.5567226,0.08666666666666667,3.16e-05
2.0421422,2.0396965,0.08211179,0.68027896,1.5414956,0.08833333333333335,3.16e-05
2.0448992,2.0427687,0.08239276,0.6806101,1.526578,0.09000000000000001,3.16e-05
2.0491683,2.037346,0.08271919,0.68152547,1.5115271,0.09166666666666666,3.16e-05
2.0523434,2.0487828,0.082975425,0.6820854,1.4966942,0.09333333333333334,3.16e-05
